Ramallah Nablus 36
Ramallah bireh 2.8
bireh Ramallah 2.8
bireh beirzet 10.1
beirzet bireh 10.1
Nablus Ramallah 36
bireh surda 5.3
surda bireh 5.3
Ramallah Jericho 24.8
Jericho Ramallah 24.8
Jericho Hebron 50
Hebron Jericho 50
Hebron yatta 9.9
yatta Hebron 9.9
yatta alsamoo` 6.9
alsamoo` yatta 6.9
alsamoo` Beir-Alsabe` 37.4
Beir-Alsabe` alsamoo` 37.4
yatta althaheryeh 11.5
althaheryeh yatta 11.5
Beir-Alsabe` althaheryeh 24.7
althaheryeh Beir-Alsabe` 24.7
Gaza Deir-Albalah 15.7
Deir-albalah Gaza 15.7
Deir-albalah Rafah 22.8
Rafah Deir-albalah 22.8
khanyounes Rafah 11.1
Rafah khanyounes 11.1
khanyounes Gaza 24.7
Gaza khanyounes 24.7
Gaza Askalan 21.2
Askalan Gaza 21.2
Gaza beit-hanoon 8.1
beit-hanoon Gaza 8.1
Askalan Isdood 21.8
Isdood Askalan 21.8
Isdood tal-alrabee` 41.9
tal-alrabee` Isdood 41.9
bireh Jerusalem 22.3
Jerusalem bireh 22.3
beirzet Salfet 23.2
Salfit beirzet 23.2
Salfit beit-jala 41
beit-jala Salfit 41
Salfit Ramallah 21
Ramallah Salfit 21
Salfit Gaza 94
Gaza Salfit 94
Salfit Nablus 17
Nablus Salfit 17
Salfit beit-hanoon 61
beit-hanoon Salfit 61
Salfit halhoul 55
halhoul Salfit 55
Salfit khanyounes 118
khanyounes Salfit 118
Salfit Rafah 125
Rafah Salfit 125
Hebron Beitlahem 21.5
Beitlahem Hebron 21.5
Beitlahem Jerusalem 9
Jerusalem Beitlahem 9
Beitlahem bireh 36.9
bireh Beitlahem 36.9
bireh Tulkarem 148
Tulkarem bireh 148
Tulkarem Nablus 54.9
Nablus Tulkarem 54.9
Tulkarem Salfit 29
Salfit Tulkarem 29
Jenin Nablus 44.9
Nablus Jenin 44.9
Jenin Toubas 30.4
Toubas Tulkarem 44.7
Toubas Jenin 30.4
Tulkarem Toubas 44.7
howara Nablus 2
Nablus howara 2
Ramallah howara 34
howara Ramallah 34
Abudees Jerusalem 4.2
Jerusalem Abudees 4.2
Abudees Ramallah 16.4
Ramallah Abudees 16.4
Gaza Beir-Alsabe` 41.4
Beir-Alsabe` Gaza 41.4
Ramallah Gaza 82.7 
Gaza Ramallah 82.7
Hebron Gaza 60.1
Gaza Hebron 60.1
Nablus Gaza 110
Gaza Nablus 110
Gaza Jericho 102
Jericho Gaza 102
Tulkarem tal-alrabee` 41
tal-alrabee` Tulkarem 41
Jenin Gaza 132
Gaza Jenin 132
Alled Alramla 4.7
Alramla Alled 4.7
Nablus qalqylya 31
qalqylya Nablus 31
qalqylya Tulkarem 34
Tulkarem qalqylya 34
Gaza Jerusalem 97
Jerusalem Gaza 97
Jerusalem Jericho 38
Jericho Jerusalem 38
Jerusalem Tulkarem 99
Tulkarem Jerusalem 99
beit-jala Jerusalem 14
Jerusalem beit-jala 14
Ramallah Jerusalem 19
Jerusalem Ramallah 19
Jenin Jerusalem 112
Jerusalem Jenin 112
Jerusalem qalqylya 102
qalqylya Jerusalem 102
Nablus Jerusalem 67
Jerusalem Nablus 67
Beitlahem Ramallah 38.6
Ramallah Beitlahem 38.6
tal-alrabee` Jaffa 9.8
Jaffa tal-alrabee` 9.8
tal-alrabee` Haifa 92.8
Haifa tal-alrabee` 92.8
om-alfahem Haifa 44.2
Haifa om-alfahem 44.2
Beir-Alsabe` Haifa 194
Haifa Beir-Alsabe` 194
Beir-Alsabe` Tal-Alrabee` 111
Tal-Alrabee` Beir-Alsabe` 111
Jaffa Beir-Alsabe` 105
Beir-Alsabe` Jaffa 105
Akka Beir-Alsabe` 208
Beir-Alsabe` Akka 208
Akka Haifa 33.7
Haifa Akka 33.7
Alnasra Akka 44.7
Akka Alnasra 44.7
Alnasra Nablus 73
Nablus Alnasra 73
alkhdeira Haifa 50.4
Haifa alkhdeira 50.4
alkhdeira Tal-Alrabee` 48.1
Tal-Alrabee` alkhdeira 48.1
Ramallah beirzet 13.6
beirzet Ramallah 13.6
beirzet howara 20.6
howara beirzet 20.6
Akka ras-alnaqoora 19.4
ras-alnaqoora Akka 19.4
Beisan Akka 82.8
Akka Beisan 82.8
Beisan Haifa 69.1
Haifa Beisan 69.1
Beisan tabarya 40.6
tabarya Beisan 40.6
Nablus Beisan 60.1
Beisan Nablus 60.1
Jenin Beisan 20.1
Beisan Jenin 20.1
Toubas Nablus 22.3
Nablus Toubas 22.3
Toubas Jenin 30.3
Jenin Toubas 30.3
Toubas Tulkarem 44.7
Tulkarem Toubas 44.7
bireh howara 31.2
bireh Toubas 98.1
jamma`een Nablus 22.9
Nablus jamma`een 22.9
Nablus Beitlahem 70
Beitlahem Nablus 70
Nablus Hebron 101
Hebron Nablus 101
Hebron bani-na`eem 6.5
bani-na`eem Hebron 6.5
taffooh Hebron 5.5
Hebron taffooh 5.5
dora taffooh 6
taffooh dora 6
taffooh bani-na`eem 11.1
bani-na`eem taffooh 11.1
taffooh yatta 11.1
yatta taffooh 11.1
dora yatta 9
yatta dora 9
dora althaheryeh 13.6
althaheryeh dora 13.6
Em-Alrashrash Beir-Alsabe` 233
Beir-Alsabe` Em-Alrashrash 233
Safad Tal-Alrabee` 171
Tal-Alrabee` Safad 171
Safad Haifa 74.7
Haifa Safad 74.7
Safad Akka 54
Akka Safad 54
Safad Alnasra 65.4
Alnasra Safad 65.4
Safad tabarya 41.4
tabarya Safad 41.4
beit-reema bireh 43.5
bireh beit-reema 43.5
qabatya Nablus 37.9
Nablus qabatya 37.9
qabatya Jenin 9
Jenin qabatya 9
qabatya Salfit 85.5
Salfit qabatya 85.5
qabatya Tulkarem 60.2
Tulkarem qabatya 60.2
qabatya qalqylya 87.3
qalqylya qabatya 87.3
Alteireh Tal-Alrabee` 26.4
Tal-Alrabee` Alteireh 26.4
Alteireh Haifa 84.4
Haifa Alteireh 84.4
Akka Alteireh 98.1
Alteireh Akka 98.1
Alteireh Alnasra 79.9
Alnasra Alteireh 79.9
Alteireh Safad 138
Safad Alteireh 138
Alteireh tabarya 112
tabarya Alteireh 112
Ramallah Hebron 42.4
Hebron Ramallah 42.4
Ramallah qalqylya 92.5
qalqylya Ramallah 92.5
Ramallah Tulkarem 80
Tulkarem Ramallah 80
Jerusalem Askalan 86
Askalan Jerusalem 86
Isdood Jerusalem 74
Jerusalem Isdood 74
Jerusalem tal-alrabee` 67.4
tal-alrabee` Jerusalem 67.4
Jerusalem Jaffa 65.3
Jaffa Jerusalem 65.3
Alkhdeira Jerusalem 113
Jerusalem Alkhdeira 113
Jerusalem Haifa 150
Haifa Jerusalem 150
Akka Jerusalem 164
Jerusalem Akka 164
Jerusalem Alnasra 146
Alnasra Jerusalem 146
Jerusalem tabarya 164
tabarya Jerusalem 164
Jerusalem Em-Alrashrash 314
Em-Alrashrash Jerusalem 314
Jenin Haifa 50
Haifa Jenin 50
Haifa Jerusalem 152
Jerusalem Haifa 152
