Ramallah 175 214
Nablus 177 188
Jericho 220 216
bireh 180 212
Tulkarem 151 165
Jenin 176 133
Salfit 151 182
Jerusalem 174 228
Alramla 122 217
Alled 128 208
Beitlahem 178 234
Gaza 47 268
Jaffa 99 196
Haifa 137 84
Alnasra 182 97
Askalan 73 244
Beir-Alsabe` 122 304
Toubas 199 163
Beisan 225 126
Akka 157 62
Em-Alrashrash 128 532
khanyounes 30 285
Rafah 14 300
Hebron 160 262
Safad 213 52
tal-alrabee` 99 204
Isdood 85 226
Deir-Albalah 24 294
Alteireh 137 148
tabarya 225 82
alkhdeira 110 175
yatta 151 277
althaheryeh 137 277
qalqylya 137 171
ras-alnaqoora 163 48
om-alfahem 151 127
howara 180 194
dora 151 258
alsamoo` 151 285
qabatya 169 161
beirzet 159 199
beit-reema 162 209
halhoul 157 260
beit-jala 167 240
abudees 191 227
surda 181 209
jamma`een 169 195
taffooh 145 268
bani-na`eem 177 277
beit-hanoon 57 260
